to teach,enseñar
postgraduate,de postgrado
PhD,el doctorado
minor,la asignatura secundaria
medical school,la facultad de medicina
master's degree,la maestría
major,la especialidad
lecture,la clase
Law School,la Facultad de Derecho
homecoming,fiesta de exalumnos
graduate,el graduado
senior,el/la estudiante del último año
junior,estudiante de tercer año
sophomore,el/la estudiante de segundo año
freshman,el/la estudiante de primer año
sorority,la sororidad
fraternity,el círculo estudiantil
financial aid,la ayuda financiera
to fail,suspender
to pass,aprobar
midterm,el examen parcial
final,el examen final
to enroll,inscribir
dormitory,la residencia estudiantil
diploma,el diploma
dining hall,el comedor
department,la facultad
dean,el decano
curriculum,el currículum
credit,el crédito
course,el curso
community college,el colegio universitario comunitario
community college,colegio comunitario
college,la universidad
campus,el campus
scholarship,la beca
grant,la beca
degree,la licenciatura
to audit,asistir como oyente
advisor,el tutor
academy,la academia
the academic world,la academia
academic,académico
assignment,el trabajo
